209:42-211:2 | BlockStatement | Survived | "{}"
223:10-223:79 | LogicalOperator | Survived | "!!key || !!(event as unknown as Record<string, boolean>)[`${key}Key`]"
229:7-229:25 | ConditionalExpression | Survived | "false"
229:34-229:38 | BooleanLiteral | NoCoverage | "false"
230:40-230:64 | ConditionalExpression | Survived | "true"
231:42-231:77 | ConditionalExpression | Survived | "true"
231:47-231:56 | ObjectLiteral | Survived | "{}"
231:75-231:77 | UnaryOperator | Survived | "+1"
235:54-235:63 | ObjectLiteral | Survived | "{}"
239:10-239:32 | ObjectLiteral | Survived | "{}"
239:15-239:20 | BooleanLiteral | Survived | "true"
253:9-253:81 | LogicalOperator | Survived | "point.y >= scale.top && point.y <= scale.bottom || point.x >= scale.left"
253:9-253:56 | LogicalOperator | Survived | "point.y >= scale.top || point.y <= scale.bottom"
253:9-253:56 | ConditionalExpression | Survived | "true"
253:9-253:81 | ConditionalExpression | Survived | "true"
253:9-253:29 | ConditionalExpression | Survived | "true"
253:33-253:56 | ConditionalExpression | Survived | "true"
253:60-253:81 | ConditionalExpression | Survived | "true"
269:7-269:20 | ConditionalExpression | Survived | "true"
269:7-269:20 | ConditionalExpression | Survived | "false"
269:22-277:4 | BlockStatement | Survived | "{}"
271:45-276:6 | BlockStatement | Survived | "{}"
272:11-272:33 | ConditionalExpression | Survived | "true"
272:11-272:33 | ConditionalExpression | Survived | "false"
272:35-275:8 | BlockStatement | Survived | "{}"
274:25-274:30 | BooleanLiteral | Survived | "true"
287:47-287:56 | ArithmeticOperator | Survived | "val + min"
309:17-309:38 | ArithmeticOperator | Survived | "scale.max + scale.min"
320:20-320:35 | ArithmeticOperator | Survived | "logMax + logMin"
354:18-354:41 | ArithmeticOperator | Survived | "(range - max + min) * 2"
355:3-355:16 | AssignmentOperator | Survived | "min += offset"
356:3-356:16 | AssignmentOperator | Survived | "max -= offset"
360:7-360:40 | EqualityOperator | Survived | "Math.abs(min - origMin) <= epsilon"
360:16-360:29 | ArithmeticOperator | Survived | "min + origMin"
361:7-361:40 | EqualityOperator | Survived | "Math.abs(max - origMax) <= epsilon"
362:7-362:21 | EqualityOperator | Survived | "min <= minLimit"
365:14-365:28 | EqualityOperator | Survived | "max >= maxLimit"
377:31-377:36 | BooleanLiteral | Survived | "true"
385:30-385:50 | EqualityOperator | Survived | "range.min <= minLimit"
385:30-385:50 | ConditionalExpression | Survived | "false"
385:54-385:74 | EqualityOperator | Survived | "range.max >= maxLimit"
385:84-385:88 | BooleanLiteral | Survived | "false"
388:7-388:39 | ConditionalExpression | Survived | "true"
388:7-388:39 | LogicalOperator | Survived | "zoomKind || newSpan === minRange"
388:19-388:39 | ConditionalExpression | Survived | "true"
388:74-388:78 | BooleanLiteral | Survived | "false"
393:10-393:86 | ConditionalExpression | Survived | "false"
393:10-393:86 | ConditionalExpression | Survived | "true"
393:10-393:46 | ConditionalExpression | Survived | "false"
393:10-393:46 | EqualityOperator | Survived | "scale.parse(fixed.min) === scale.min"
393:10-393:86 | LogicalOperator | Survived | "scale.parse(fixed.min) !== scale.min && scale.parse(fixed.max) !== scale.max"
393:50-393:86 | ConditionalExpression | Survived | "false"
393:50-393:86 | EqualityOperator | Survived | "scale.parse(fixed.max) === scale.max"
405:73-405:78 | EqualityOperator | Survived | "v <= 0"
405:81-405:108 | MethodExpression | Survived | "Math.max(Math.round(v), -1)"
405:105-405:107 | UnaryOperator | Survived | "+1"
405:111-405:137 | MethodExpression | Survived | "Math.min(Math.round(v), 1)"
407:20-407:48 | ArithmeticOperator | Survived | "scale.getLabels().length + 1"
408:7-408:20 | EqualityOperator | Survived | "scale.min >= 0"
408:7-408:20 | ConditionalExpression | Survived | "true"
409:7-409:27 | EqualityOperator | Survived | "scale.max <= maxIndex"
409:7-409:27 | ConditionalExpression | Survived | "true"
413:7-413:48 | ConditionalExpression | Survived | "true"
413:7-413:48 | LogicalOperator | Survived | "scale.min === scale.max || zoomAmount < 1"
413:7-413:30 | ConditionalExpression | Survived | "true"
413:34-413:48 | EqualityOperator | Survived | "zoomAmount <= 1"
413:34-413:48 | ConditionalExpression | Survived | "true"
416:48-418:2 | BlockStatement | Survived | "{}"
420:26-420:54 | ArithmeticOperator | Survived | "scale.getLabels().length + 1"
422:17-422:39 | MethodExpression | Survived | "Math.min(max - min, 1)"
422:26-422:35 | ArithmeticOperator | Survived | "max + min"
423:32-423:72 | ArithmeticOperator | Survived | "scaleLength(scale) * Math.max(range, 10)"
423:53-423:72 | MethodExpression | Survived | "Math.min(range, 10)"
424:40-424:57 | ArithmeticOperator | Survived | "delta * stepDelta"
426:7-426:25 | ConditionalExpression | Survived | "false"
426:7-426:25 | EqualityOperator | Survived | "delta <= -stepDelta"
426:15-426:25 | UnaryOperator | Survived | "+stepDelta"
426:27-430:4 | BlockStatement | Survived | "{}"
427:11-427:51 | MethodExpression | Survived | "Math.max(max + stepSize, lastLabelIndex)"
428:11-428:22 | ConditionalExpression | Survived | "true"
428:11-428:22 | ConditionalExpression | Survived | "false"
428:11-428:22 | EqualityOperator | Survived | "range !== 1"
428:31-428:42 | ArithmeticOperator | Survived | "max + range"
429:15-429:37 | ConditionalExpression | Survived | "true"
429:15-429:37 | EqualityOperator | Survived | "max !== lastLabelIndex"
429:15-429:37 | ConditionalExpression | Survived | "false"
430:14-430:31 | ConditionalExpression | Survived | "false"
430:33-434:4 | BlockStatement | Survived | "{}"
431:11-431:38 | MethodExpression | Survived | "Math.min(0, min - stepSize)"
432:11-432:22 | ConditionalExpression | Survived | "true"
432:11-432:22 | EqualityOperator | Survived | "range !== 1"
432:11-432:22 | ConditionalExpression | Survived | "false"
432:31-432:42 | ArithmeticOperator | Survived | "min - range"
433:15-433:24 | ConditionalExpression | Survived | "true"
433:15-433:24 | EqualityOperator | Survived | "min !== 0"
433:15-433:24 | ConditionalExpression | Survived | "false"
435:10-435:63 | LogicalOperator | Survived | "updateRange(scale, {\n  min,\n  max\n}, limits) && !!applied"
435:54-435:63 | BooleanLiteral | Survived | "!applied"
435:55-435:63 | BooleanLiteral | Survived | "applied"
441:8-441:27 | ArithmeticOperator | Survived | "12 * 60 * 60 / 1000"
441:8-441:15 | ArithmeticOperator | Survived | "12 / 60"
441:8-441:20 | ArithmeticOperator | Survived | "12 * 60 / 60"
454:46-454:50 | BooleanLiteral | Survived | "false"
455:81-455:86 | BooleanLiteral | Survived | "true"
486:10-486:64 | ConditionalExpression | Survived | "false"
486:10-486:35 | ConditionalExpression | Survived | "false"
486:10-486:64 | LogicalOperator | Survived | "previous.min !== opts.min && previous.max !== opts.max"
486:39-486:64 | ConditionalExpression | Survived | "false"
488:92-492:2 | BlockStatement | Survived | "{}"
489:42-491:4 | BlockStatement | Survived | "{}"
490:9-490:27 | ConditionalExpression | Survived | "false"
520:44-520:68 | ArithmeticOperator | Survived | "(ca.top + ca.bottom) * 2"
520:45-520:63 | ArithmeticOperator | Survived | "ca.top - ca.bottom"
540:69-540:75 | StringLiteral | Survived | "\"\""
545:20-545:27 | ConditionalExpression | Survived | "true"
546:20-546:27 | ConditionalExpression | Survived | "true"
561:9-561:41 | ConditionalExpression | Survived | "true"
561:9-561:41 | LogicalOperator | Survived | "scale.isHorizontal() || xEnabled"
562:14-562:47 | ConditionalExpression | Survived | "true"
562:14-562:47 | LogicalOperator | Survived | "!scale.isHorizontal() || yEnabled"
568:87-568:93 | StringLiteral | Survived | "\"\""
568:105-568:110 | StringLiteral | Survived | "\"\""
571:16-571:33 | OptionalChaining | Survived | "zoomOptions.mode"
573:43-573:46 | StringLiteral | Survived | "\"\""
574:43-574:46 | StringLiteral | Survived | "\"\""
577:14-577:47 | LogicalOperator | Survived | "!scale.isHorizontal() || yEnabled"
580:10-580:29 | OptionalChaining | Survived | "zoomOptions.onZoom"
